conversion_profile,temperature_profile,instant_temperature_change_profile,enthalpy_profile,instant_enthalpy_profile,reaction_rate_profile
0.30720720720720723,468.9162406020467,0.0318858576155549,-1526456.2176490773,-3630.4515918404795,0.0026591641176910456
0.3081081081081081,468.9480837316194,0.031843129572738355,-1530081.8410957188,-3625.62344664149,0.0026557746660097717
0.309009009009009,468.97988413852875,0.031800406909349765,-1533702.6368418867,-3620.795746167889,0.0026523826992550384
0.3099099099099099,469.01164182814654,0.031757689617772984,-1537318.6053317548,-3615.9684898681007,0.0026489882219300357
0.3108108108108108,469.043356805836,0.03171497768947787,-1540929.7470088413,-3611.1416770864744,0.002645591238539301
0.3117117117117117,469.075029076953,0.03167227111698346,-1544536.0623161276,-3606.315307286335,0.002642191753588748
0.31261261261261264,469.1066586468448,0.03162956989176397,-1548137.55169594,-3601.4893798124976,0.0026387897715856303
0.31351351351351353,469.1382455208507,0.03158687400595008,-1551734.2155900237,-3596.6638940835837,0.0026353852970385483
0.3144144144144144,469.1697897043024,0.031544183451674666,-1555326.054439542,-3591.8388495182153,0.002631978334457454
0.3153153153153153,469.20129120252335,0.03150149822094182,-1558913.0686850627,-3587.0142455208115,0.002628568888353623
0.3162162162162162,469.2327500208286,0.03145881830523432,-1562495.2587664982,-3582.1900814354885,0.00262515696323965
0.3171171171171171,469.2641661645258,0.03141614369721489,-1566072.625123239,-3577.3663567407057,0.002621742563629478
0.31801801801801804,469.2955396389142,0.03137347438837057,-1569645.1681940195,-3572.543070780579,0.0026183256940383367
0.31891891891891894,469.3268704492853,0.03133081037110655,-1573212.8884170237,-3567.7202230042312,0.0026149063589827864
0.31981981981981983,469.3581586009221,0.03128815163678327,-1576775.7862297646,-3562.8978127408773,0.002611484562980666
0.3207207207207207,469.38940409910015,0.031245498178071915,-1580333.8620692333,-3558.0758394687437,0.002608060310551132
0.3216216216216216,469.42060694908673,0.03120284998659883,-1583887.1163717809,-3553.254302547546,0.002604633606214621
0.3225225225225225,469.4517671561411,0.031160207054385092,-1587435.5495731619,-3548.4332013810053,0.0026012044544928515
0.32342342342342345,469.4828847255148,0.031117569373715556,-1590979.1621085647,-3543.6125354028773,0.0025977728599088368
0.32432432432432434,469.51395966245065,0.031074936935830362,-1594517.9544124922,-3538.7923039274756,0.002594338826986831
0.32522522522522523,469.54499197218456,0.03103230973393452,-1598051.9269189856,-3533.97250649333,0.0025909023602523787
0.3261261261261261,469.5759816599438,0.030989687759272334,-1601581.0800614003,-3529.1531424147543,0.002587463464232281
0.327027027027027,469.6069287309474,0.030947071003613633,-1605105.414272466,-3524.3342110656668,0.002584022143454575
0.3279279279279279,469.6378331904069,0.03090445945951538,-1608624.929984376,-3519.5157119100913,0.002580578402448563
0.32882882882882886,469.66869504352593,0.030861853119013228,-1612139.6276287278,-3514.6976443517487,0.002577132245744784
0.32972972972972975,469.69951429549997,0.030819251974014045,-1615649.5076365075,-3509.8800077796914,0.0025736836778750046
0.33063063063063064,469.7302909515161,0.03077665601616507,-1619154.5704380604,-3505.0628015529364,0.0025702327033722203
0.33153153153153153,469.761025016754,0.0307340652379007,-1622654.816463181,-3500.2460251206066,0.0025667793267706504
0.3324324324324324,469.7917164963854,0.030691479631395662,-1626150.2461410824,-3495.429677901324,0.002563323552605742
0.3333333333333333,469.82236539557357,0.03064889918817252,-1629640.8599003218,-3490.613759239437,0.0025598653854141257
0.33423423423423426,469.8529717194738,0.0306063239002793,-1633126.6581688605,-3485.798268538667,0.002556404829733648
0.33513513513513515,469.88353547323436,0.030563753760551027,-1636607.6413741533,-3480.9832052928396,0.0025529418901033695
0.33603603603603605,469.9140566619947,0.03052118876038561,-1640083.8099429845,-3476.16856883117,0.0025494765710635213
0.33693693693693694,469.94453529088656,0.03047862889183711,-1643555.1643015419,-3471.354358557379,0.002546008877155525
0.33783783783783783,469.97497136503364,0.030436074147092526,-1647021.7048754327,-3466.5405738907866,0.0025425388129219845
0.3387387387387387,470.00536488955186,0.03039352451820999,-1650483.4320896678,-3461.727214235114,0.002539066382906668
0.33963963963963967,470.035715869549,0.030350979997118846,-1653940.3463686472,-3456.914278979413,0.0025355915916545216
0.34054054054054056,470.0660243101249,0.030308440575881276,-1657392.4481361746,-3452.101767527405,0.0025321144437116376
0.34144144144144145,470.0962902163717,0.03026590624682314,-1660839.737815488,-3447.2896793133114,0.0025286349436252813
0.34234234234234234,470.1265135933736,0.03022337700187979,-1664282.2158292138,-3442.4780137259513,0.0025251530959438553
0.34324324324324323,470.1566944462063,0.030180852832726965,-1667719.8825993382,-3437.6667701243423,0.002521668905216894
